Rank,Player,Position,Team
1,Justin Jefferson,WR,MIN
2,Ja'Marr Chase,WR,CIN
3,Christian McCaffrey,RB,SF
4,Austin Ekeler,RB,LAC
5,Tyreek Hill,WR,MIA
6,Cooper Kupp,WR,LAR
7,Bijan Robinson,RB,ATL
8,Stefon Diggs,WR,BUF
9,Travis Kelce,TE,KC
10,Saquon Barkley,RB,NYG
11,Tony Pollard,RB,DAL
12,CeeDee Lamb,WR,DAL
13,Amon-Ra St. Brown,WR,DET
14,Josh Jacobs,RB,LV
15,A.J. Brown,WR,PHI
16,Garrett Wilson,WR,NYJ
17,Derrick Henry,RB,TEN
18,Davante Adams,WR,LV
19,Nick Chubb,RB,CLE
20,Patrick Mahomes,QB,KC
21,Josh Allen,QB,BUF
22,Jalen Hurts,QB,PHI
23,Jaylen Waddle,WR,MIA
24,DeVonta Smith,WR,PHI
25,Joe Mixon,RB,CIN
26,Jonathan Taylor,RB,IND
27,Tee Higgins,WR,CIN
28,Chris Olave,WR,NO
29,Mark Andrews,TE,BAL
30,Calvin Ridley,WR,JAC
31,Travis Etienne,RB,JAC
32,Aaron Jones,RB,GB
33,Jameer Gibbs,RB,DET
34,Rhamondre Stevenson,RB,NE
35,Keenan Allen,WR,LAC
36,Christian Watson,WR,GB
37,D.J. Moore,WR,CHI
38,Deebo Samuel,WR,SF
39,Damien Pierce,RB,HOU
40,Justin Fields,QB,CHI
41,Lamar Jackson,QB,BAL
42,DeAndre Hopkins,WR,TEN
43,Miles Sanders,RB,CAR
44,Amari Cooper,WR,CLE
45,Alexander Mattison,RB,MIN
46,DK Metcalf,WR,SEA
47,J.K. Dobbins,RB,BAL
48,Joe Burrow,QB,CIN
49,T.J. Hockenson,TE,MIN
50,Drake London,WR,ATL
51,Najee Harris,RB,PIT
52,James Conner,RB,ARI
53,James Cook,RB,BUF
54,Christian Kirk,WR,JAC
55,Jahan Dotson,WR,WAS
56,Rachaad White,RB,TB
57,Justin Herbert,QB,LAC
58,Diontae Johnson,WR,PIT
59,Alvin Kamara,RB,NO
60,Breece Hall,RB,NYJ
61,Chris Godwin,WR,TB
62,Kenneth Walker III,RB,SEA
63,Kyle Pitts,TE,ATL
64,Brandon Aiyuk,WR,SF
65,Tyler Lockett,WR,SEA
66,David Montgomery,RB,DET
67,Jordan Addison,WR,MIN
68,Cam Akers,RB,LAR
69,Javonte Williams,RB,DEN
70,Mike Williams,WR,LAC
71,Mike Evans,WR,TB
72,Terry McLaurin,WR,WAS
73,Gabriel Davis,WR,BUF
74,Dallas Goedert,TE,PHI
75,Jerry Jeudy,WR,DEN
76,Trevor Lawrence,QB,JAC
77,George Pickens,WR,PIT
78,George Kittle,TE,SF
79,Darren Waller,TE,NYG
80,Jaxon Smith-Njigba,WR,SEA
81,Brian Robinson Jr.,RB,WAS
82,Marquise Brown,WR,ARI
83,D'Andre Swift,RB,PHI
84,Isaiah Pacheco,RB,KC
85,A.J. Dillon,RB,GB
86,Zay Flowers,WR,BAL
87,Romeo Doubs,WR,GB
88,La'Mical Perine,RB,DEN
89,Michael Thomas,WR,NO
90,Antonio Gibson,RB,WAS
91,Khalil Herbert,RB,CHI
92,Skyy Moore,WR,KC
93,Michael Pittman,WR,IND
94,Tua Tagovailoa,QB,MIA
95,Anthony Richardson,QB,IND
96,Dalvin Cook,RB,NYJ
97,Elijah Moore,WR,CLE
98,Brandin Cooks,WR,DAL
99,JuJu Smith-Schuster,WR,NE
100,David Njoku,TE,CLE
101,Zach Charbonnet,RB,SEA
102,Jaylen Warren,RB,PIT
103,Deshaun Watson,QB,CLE
104,Pat Freiermuth,TE,PIT
105,Nico Collins,WR,HOU
106,Courtland Sutton,WR,DEN
107,Dak Prescott,QB,DAL
108,Treylon Burks,WR,TEN
109,Roschon Johnson,RB,CHI
110,Quentin Johnston,WR,LAC
111,Rashod Bateman,WR,BAL
112,Tank Bigsby,RB,JAC
113,Rashaad Penny,RB,PHI
114,Kadarius Toney,WR,KC
115,Jeff Wilson,RB,MIA
116,Evan Engram,TE,JAC
117,Devon Achane,RB,MIA
118,Kenneth Gainwell,RB,PHI
119,Dalton Kincaid,TE,BUF
120,Odell Beckham Jr.,WR,BAL
121,Javonte Williams,RB,NO
122,Raheem Mostert,RB,MIA
123,Kirk Cousins,QB,MIN
124,Daniel Jones,QB,NYG
125,Adam Thielen,WR,CAR
126,Elijah Mitchell,RB,SF
127,Geno Smith,QB,SEA
128,Ezekiel Elliott,RB,NE
129,Nico Dell,WR,HOU
130,Sam LaPorta,TE,DET
131,Rondale Moore,WR,ARI
132,Aaron Rodgers,QB,NYJ
133,Damien Harris,RB,BUF
134,Michael Mims,WR,DEN
135,Juwan Johnson,TE,NO
136,Jonathan Mingo,WR,CAR
137,Jakobi Meyers,WR,LV
138,Jayden Reed,WR,GB
139,Dalton Schultz,TE,HOU
140,Tyler Higbee,TE,LAR
141,D.J. Chark,WR,CAR
142,Titus Spears,RB,TEN
143,Chibuike Okonkwo,TE,TEN
144,Greg Dulcich,TE,DEN
145,Devin Singletary,RB,HOU
146,Jameson Williams,WR,DET
147,Jared Goff,QB,DET
148,Darnell Mooney,WR,CHI
149,Isaiah Hodgins,WR,NYG
150,Zander White,RB,LV
151,Van Jefferson,WR,LAR
152,Tyler Allgeier,RB,ATL
153,Jerron Ferguson,TE,DAL
154,Zayden Jones,WR,JAC
155,Allen Lazard,WR,NYJ
156,Reece Rice,WR,KC
157,Tyler Boyd,WR,CIN
158,Trey Chandler,RB,MIN
159,Jerrick McKinnon,RB,KC
160,Cole Kmet,TE,CHI
161,Kyler Murray,QB,ARI
162,Jaylen Hyatt,WR,NYG
163,Gerald Everett,TE,LAC
164,K.J. Osborn,WR,MIN
165,Deuce Vaughn,RB,DAL
166,Levi Musgrave,TE,GB
167,Russell Wilson,QB,DEN
168,Kyren Williams,RB,LAR
169,Justyn Ross,WR,KC
170,Michael Wilson,WR,ARI
171,Kendre Miller,RB,NO
172,Clyde Edwards-Helaire,RB,KC
173,Irv Smith,TE,CIN
174,DeVante Parker,WR,NE
175,Jordan Love,QB,GB
176,Anthony Pierce,WR,IND
177,Donovan Jackson,RB,CLE
178,Spencer Tucker,RB,TB
179,James Ford,RB,CLE
180,D'Onta Foreman,RB,CHI
181,Ricky James,WR,KC
182,Curtis Samuel,WR,WAS
183,Derek Carr,QB,NO
184,Parris Campbell,WR,NYG
185,Michael Gallup,WR,DAL
186,Matthew Stafford,QB,LAR
187,Harrison Hurst,TE,CAR
188,John Metchie III,WR,HOU
189,Cade Otton,TE,TB
190,Sterling Shepard,WR,NYG
191,Darius Slayton,WR,NYG
192,Kenneth Ingram,RB,ARI
193,Keshaun Vaughn,RB,TB
194,Kareem Hunt,RB,CLE
195,Kenny Pickett,QB,PIT
196,Leonard Fournette,RB,TB
197,Ja'Quan Downs,WR,IND
198,Josh Kelley,RB,LAC
199,Tyreek Hill,TE,NO
200,Sam Howell,QB,WAS
