Rank,Player,Position,Team
1,Justin Jefferson,WR,Vikings
2,Ja'Marr Chase,WR,Bengals
3,Christian McCaffrey,RB,49ers
4,Austin Ekeler,RB,Chargers
5,Saquon Barkley,RB,Giants
6,Cooper Kupp,WR,Rams
7,Bijan Robinson,RB,Falcons
8,Travis Kelce,TE,Chiefs
9,Tyreek Hill,WR,Dolphins
10,Jonathan Taylor,RB,Colts
11,Derrick Henry,RB,Titans
12,Tony Pollard,RB,Cowboys
13,Josh Jacobs,RB,Raiders
14,Stefon Diggs,WR,Bills
15,Nick Chubb,RB,Browns
16,Davante Adams,WR,Raiders
17,Travis Etienne Jr.,RB,Jaguars
18,CeeDee Lamb,WR,Cowboys
19,Garrett Wilson,WR,Jets
20,Mark Andrews,TE,Ravens
21,Joe Mixon,RB,Bengals
22,A.J. Brown,WR,Eagles
23,Aaron Jones,RB,Packers
24,Najee Harris,RB,Steelers
25,Rhamondre Stevenson,RB,Patriots
26,T.J. Hockenson,TE,Vikings
27,Amon-Ra St. Brown,WR,Lions
28,Jahmyr Gibbs,RB,Lions
29,Jaylen Waddle,WR,Dolphins
30,Patrick Mahomes,QB,Chiefs
31,Kenneth Walker III,RB,Seahawks
32,Tee Higgins,WR,Bengals
33,Dameon Pierce,RB,Texans
34,DeVonta Smith,WR,Eagles
35,James Conner,RB,Cardinals
36,DK Metcalf,WR,Seahawks
37,Rachaad White,RB,Buccaneers
38,Josh Allen,QB,Bills
39,Chris Olave,WR,Saints
40,Keenan Allen,WR,Chargers
41,Deebo Samuel,WR,49ers
42,Jalen Hurts,QB,Eagles
43,Calvin Ridley,WR,Jaguars
44,Darren Waller,TE,Giants
45,Amari Cooper,WR,Browns
46,Breece Hall,RB,Jets
47,Chris Godwin,WR,Buccaneers
48,Kyle Pitts,TE,Falcons
49,DeAndre Hopkins,WR,Titans
50,DJ Moore,WR,Bears
51,Miles Sanders,RB,Panthers
52,Alexander Mattison,RB,Vikings
53,Drake London,WR,Falcons
