Rank,Player,Position,Team
1,Justin Jefferson,WR,MIN
2,Christian McCaffrey,RB,SF
3,Ja'Marr Chase,WR,CIN
4,Cooper Kupp,WR,LAR
5,Austin Ekeler,RB,LAC
6,Tyreek Hill,WR,MIA
7,Travis Kelce,TE,KC
8,Stefon Diggs,WR,BUF
9,Bijan Robinson,RB,ATL
10,Amon-Ra St. Brown,WR,DET
11,Davante Adams,WR,LV
12,CeeDee Lamb,WR,DAL
13,Saquon Barkley,RB,NYG
14,Nick Chubb,RB,CLE
15,Tony Pollard,RB,DAL
16,A.J. Brown,WR,PHI
17,Garrett Wilson,WR,NYJ
18,Jaylen Waddle,WR,MIA
19,Josh Jacobs,RB,LV
20,Derrick Henry,RB,TEN
21,Mark Andrews,TE,BAL
22,Chris Olave,WR,NO
23,Tee Higgins,WR,CIN
24,DeVonta Smith,WR,PHI
25,Jalen Hurts,QB,PHI
26,Josh Allen,QB,BUF
27,Patrick Mahomes,QB,KC
28,Joe Mixon,RB,CIN
29,Keenan Allen,WR,LAC
30,Jonathan Taylor,RB,IND
31,Travis Etienne,RB,JAX
32,Jahmyr Gibbs,RB,DET
33,DK Metcalf,WR,SEA
34,Deebo Samuel,WR,SF
35,Rhamondre Stevenson,RB,NE
36,Calvin Ridley,WR,JAC
37,DeAndre Hopkins,WR,TEN
38,Lamar Jackson,QB,BAL
39,T.J. Hockenson,TE,MIN
40,Amari Cooper,WR,CLE
41,Dameon Pierce,RB,HOU
42,Breece Hall,RB,NYJ
43,Najee Harris,RB,PIT
44,Alexander Mattison,RB,MIN
45,Kenneth Walker,RB,SEA
46,Mike Williams,WR,LAC
47,Justin Herbert,QB,LAC
48,Joe Burrow,QB,CIN
49,Aaron Jones,RB,GB
50,Christian Kirk,WR,JAC
51,DJ Moore,WR,CHI
52,Christian Watson,WR,GB
53,Drake London,WR,ATL
54,Diontae Johnson,WR,PIT
55,Darren Waller,TE,NYG
56,Justin Fields,QB,CHI
57,Chris Godwin,WR,TB
58,Terry McLaurin,WR,WSH
59,Brandon Aiyuk,WR,SF
60,James Conner,RB,ARI
61,Cam Akers,RB,LAR
62,James Cook,RB,BUF
63,Tyler Lockett,WR,SEA
64,David Montgomery,RB,DET
65,Marquise Brown,WR,ARI
66,George Kittle,TE,SF
67,Jerry Jeudy,WR,DEN
68,Dallas Goedert,TE,PHI
69,Kyle Pitts,TE,ATL
70,Trevor Lawrence,QB,JAC
71,Rachaad White,RB,TB
72,Isiah Pacheco,RB,KC
73,Miles Sanders,RB,CAR
74,Mike Evans,WR,TB
75,Michael Pittman Jr.,WR,IND
76,Jordan Addison,WR,MIN
77,Dalvin Cook,RB,NYJ
78,Jahan Dotson,WR,WSH
79,J.K. Dobbins,RB,BAL
80,Javonte Williams,RB,DEN
81,Alvin Kamara,RB,NO
82,Courtland Sutton,WR,DEN
83,Gabe Davis,WR,BUF
84,Pat Freiermuth,TE,PIT
85,George Pickens,WR,PIT
86,Brandin Cooks,WR,DAL
87,Jaxon Smith-Njigba,WR,SEA
88,D'Andre Swift,RB,PHI
89,Evan Engram,TE,JAC
90,Khalil Herbert,RB,CHI
91,Tua Tagovailoa,QB,MIA
92,Antonio Gibson,RB,WSH
93,Brian Robinson Jr.,RB,WSH
94,Jakobi Meyers,WR,LV
95,Quentin Johnston,WR,LAC
96,Rashod Bateman,WR,BAL
97,Treylon Burks,WR,TEN
98,Samaje Perine,RB,DEN
99,Zay Flowers,WR,BAL
100,David Njoku,TE,CLE
101,AJ Dillon,RB,GB
102,Daniel Jones,QB,NYG
103,Deshaun Watson,QB,CLE
104,Zach Charbonnet,RB,SEA
105,Jaylen Warren,RB,PIT
106,Michael Thomas,WR,NO
107,Skyy Moore,WR,KC
108,Zay Jones,WR,JAC
109,Tyler Higbee,TE,LAR
110,Tyler Boyd,WR,CIN
111,JuJu Smith-Schuster,WR,NE
112,Anthony Richardson,QB,IND
113,Geno Smith,QB,SEA
114,Elijah Moore,WR,CLE
115,Kadarius Toney,WR,KC
116,Allen Lazard,WR,NYJ
117,Jerick McKinnon,RB,KC
118,Rashaad Penny,RB,PHI
119,Jamaal Williams,RB,NO
120,Dalton Schultz,TE,HOU
121,Elijah Mitchell,RB,SF
122,Tank Bigsby,RB,JAX
123,Raheem Mostert,RB,MIA
124,Kirk Cousins,QB,MIN
125,Jared Goff,QB,DET
126,Kenneth Gainwell,RB,PHI
127,Nico Collins,WR,HOU
128,Damien Harris,RB,BUF
129,Jeff Wilson,RB,MIA
130,Romeo Doubs,WR,GB
131,Marvin Mims,WR,DEN
132,Rashee Rice,WR,KC
133,Gerald Everett,TE,LAC
134,Dak Prescott,QB,DAL
135,Darnell Mooney,WR,CHI
136,Dalton Kincaid,TE,BUF
137,K.J. Osborn,WR,MIN
138,Van Jefferson,WR,LAR
139,Juwan Johnson,TE,NO
140,Ezekiel Elliott,RB,NE
141,Chigoziem Okonkwo,TE,TEN
142,Aaron Rodgers,QB,NYJ
143,Tyler Allgeier,RB,ATL
144,Tyjae Spears,RB,TEN
145,Sam LaPorta,TE,DET
146,Odell Beckham Jr.,WR,BAL
147,Adam Thielen,WR,CAR
148,Sam Howell,QB,WSH
149,Irv Smith Jr.,TE,CIN
150,DJ Chark Jr.,WR,CAR
151,Jonathan Mingo,WR,CAR
152,Rondale Moore,WR,ARI
153,Chuba Hubbard,RB,CAR
154,Devin Singletary,RB,HOU
155,Jayden Reed,WR,GB
156,Michael Gallup,WR,DAL
157,Jake Ferguson,TE,DAL
158,Kendre Miller,RB,NO
159,Jerome Ford,RB,CLE
160,Harrison Butker,K,KC
161,Roschon Johnson,RB,CHI
162,Luke Musgrave,TE,GB
163,Curtis Samuel,WR,WSH
164,Marquez Valdes-Scantling,WR,KC
165,Hunter Henry,TE,NE
166,Philadelphia Eagles,DST,PHI
167,San Francisco 49ers,DST,SF
168,Devon Achane,RB,MIA
169,Leonard Fournette,RB,FA
170,Greg Dulcich,TE,DEN
171,New England Patriots,DST,NE
172,Rashid Shaheed,WR,NO
173,Parris Campbell,WR,NYG
174,Evan McPherson,K,CIN
175,Justin Tucker,K,BAL
176,Dallas Cowboys,DST,DAL
177,Russell Wilson,QB,DEN
178,Kenny Pickett,QB,PIT
179,Hunter Renfrow,WR,LV
